contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250411P05120000,2025-04-11 11:59:47+00:00,5120.0,17.4,17.7,18.1,-5.01,-22.356092,54,404,0.6239661627197266,False,REGULAR,USD
SPXW250411P05125000,2025-04-11 09:29:05+00:00,5125.0,29.5,18.1,18.7,7.5699997,34.518925,98,4305,0.6173744317626955,False,REGULAR,USD
SPXW250411P05130000,2025-04-11 11:56:38+00:00,5130.0,18.8,18.9,19.4,-4.08,-17.832169,79,1072,0.6137581349182131,False,REGULAR,USD
SPXW250411P05140000,2025-04-11 11:59:46+00:00,5140.0,20.5,20.6,21.1,-4.4699993,-17.90148,120,865,0.6078530426025393,False,REGULAR,USD
SPXW250411P05150000,2025-04-11 12:01:21+00:00,5150.0,21.6,22.5,23.0,-5.3199997,-19.762259,433,4502,0.6026651062011721,False,REGULAR,USD
SPXW250411P05160000,2025-04-11 12:00:44+00:00,5160.0,24.5,24.2,24.8,-4.299999,-14.930553,70,856,0.5939982006835938,False,REGULAR,USD
SPXW250411P05170000,2025-04-11 11:49:53+00:00,5170.0,32.0,26.4,27.0,-1.2599983,-3.7883294,48,1045,0.5887339710998536,False,REGULAR,USD
SPXW250411P05175000,2025-04-11 11:42:09+00:00,5175.0,31.5,27.8,28.3,-3.3100014,-9.508765,114,1857,0.5881083670043946,False,REGULAR,USD
SPXW250411P05180000,2025-04-11 11:41:23+00:00,5180.0,30.9,28.6,29.2,-2.92,-8.6339445,47,376,0.5816081878662109,False,REGULAR,USD
SPXW250411P05185000,2025-04-11 11:39:19+00:00,5185.0,34.5,30.1,30.6,-0.8499985,-2.404522,33,274,0.5810588769531251,False,REGULAR,USD
SPXW250411P05190000,2025-04-11 11:50:40+00:00,5190.0,38.5,31.4,31.9,1.9599991,5.363982,49,311,0.5783886155700684,False,REGULAR,USD
SPXW250411P05195000,2025-04-11 11:59:15+00:00,5195.0,31.53,32.7,33.2,-7.409998,-19.029272,63,342,0.5752300778198242,False,REGULAR,USD
SPXW250411P05200000,2025-04-11 12:02:01+00:00,5200.0,33.0,35.0,35.7,-9.0,-21.428572,662,9846,0.5826152578735352,False,REGULAR,USD
SPXW250411P05205000,2025-04-11 11:59:54+00:00,5205.0,35.2,36.4,37.1,-8.239998,-18.968687,47,160,0.5793499096679688,False,REGULAR,USD
SPXW250411P05210000,2025-04-11 11:56:59+00:00,5210.0,37.1,36.8,37.3,-5.3600006,-12.623648,50,352,0.5647931704711916,False,REGULAR,USD
SPXW250411P05215000,2025-04-11 11:51:42+00:00,5215.0,46.0,37.9,38.6,-2.0200005,-4.2065816,64,216,0.5587202331542969,False,REGULAR,USD
SPXW250411P05220000,2025-04-11 11:19:35+00:00,5220.0,43.6,39.6,40.2,-2.9800034,-6.3976026,158,602,0.556492472229004,False,REGULAR,USD
SPXW250411P05225000,2025-04-11 11:58:04+00:00,5225.0,40.0,42.6,43.3,-7.1100006,-15.092339,47,2755,0.5670056727600099,False,REGULAR,USD
SPXW250411P05230000,2025-04-11 11:56:51+00:00,5230.0,44.0,44.1,44.8,-6.299999,-12.52485,141,505,0.5621686849975586,False,REGULAR,USD
SPXW250411P05235000,2025-04-11 11:51:56+00:00,5235.0,54.4,44.3,45.0,3.5,6.876228,47,300,0.5446670289611817,False,REGULAR,USD
SPXW250411P05240000,2025-04-11 11:41:32+00:00,5240.0,48.93,46.0,46.7,-6.3600006,-11.502985,58,990,0.5407303007507325,False,REGULAR,USD
SPXW250411P05245000,2025-04-11 10:55:21+00:00,5245.0,39.4,47.8,48.5,-15.829998,-28.661955,21,193,0.5371750384521485,False,REGULAR,USD
SPXW250411P05250000,2025-04-11 11:28:45+00:00,5250.0,52.69,49.8,50.4,-3.0100021,-5.4039536,162,3310,0.5343979666137696,False,REGULAR,USD
SPXW250411P05255000,2025-04-11 11:57:28+00:00,5255.0,50.23,51.7,52.3,-8.189999,-14.01917,35,200,0.5305833074951172,False,REGULAR,USD
SPXW250411P05260000,2025-04-11 11:49:52+00:00,5260.0,62.2,53.7,54.3,-1.4300003,-2.247368,43,512,0.5270890797424317,False,REGULAR,USD
SPXW250411P05265000,2025-04-11 11:42:03+00:00,5265.0,61.3,55.5,56.3,0.099998474,0.1633962,52,334,0.522068988342285,False,REGULAR,USD
SPXW250411P05270000,2025-04-11 11:48:49+00:00,5270.0,64.0,57.6,58.4,0.049999237,0.07818489,144,514,0.5182543292236328,True,REGULAR,USD
SPXW250411P05275000,2025-04-11 11:45:49+00:00,5275.0,64.0,59.7,60.5,-5.0999985,-7.3806057,70,652,0.5138140660095214,True,REGULAR,USD
SPXW250411P05280000,2025-04-11 10:28:20+00:00,5280.0,45.65,61.9,62.7,-27.650002,-37.721695,42,457,0.5096179409790039,True,REGULAR,USD
SPXW250411P05285000,2025-04-11 11:57:28+00:00,5285.0,62.58,64.1,64.9,-13.019997,-17.222218,53,134,0.504765694580078,True,REGULAR,USD
SPXW250411P05290000,2025-04-11 10:45:41+00:00,5290.0,60.6,66.4,67.3,-11.200005,-15.598892,20,468,0.5006153454589843,True,REGULAR,USD
SPXW250411P05295000,2025-04-11 10:54:12+00:00,5295.0,60.1,69.2,69.7,-19.900002,-24.875002,48,213,0.5003712072753908,True,REGULAR,USD
SPXW250411P05300000,2025-04-11 11:59:02+00:00,5300.0,71.4,71.2,72.1,-8.299995,-10.414047,116,4737,0.49527482269287115,True,REGULAR,USD
SPXW250411P05305000,2025-04-11 11:41:26+00:00,5305.0,76.26,73.8,74.6,-11.639999,-13.242321,25,142,0.4903768003845215,True,REGULAR,USD
SPXW250411P05310000,2025-04-11 10:59:52+00:00,5310.0,68.1,76.3,77.1,-19.700005,-22.437363,26,337,0.48470058761596685,True,REGULAR,USD
SPXW250411P05315000,2025-04-11 10:26:29+00:00,5315.0,69.7,79.2,80.0,-24.600006,-26.086962,24,83,0.48209136077880865,True,REGULAR,USD
SPXW250411P05320000,2025-04-11 09:57:00+00:00,5320.0,75.37,81.6,82.5,-18.899994,-20.04879,18,516,0.4747977325439453,True,REGULAR,USD
SPXW250411P05325000,2025-04-11 11:53:01+00:00,5325.0,94.9,84.4,85.2,3.5999985,3.943043,12,725,0.4685874674987793,True,REGULAR,USD
SPXW250411P05330000,2025-04-11 11:14:09+00:00,5330.0,80.88,87.2,88.1,-17.82,-18.054712,14,445,0.4634758242797852,True,REGULAR,USD
SPXW250411P05335000,2025-04-11 03:24:04+00:00,5335.0,101.5,90.2,90.9,3.209999,3.265845,5,136,0.45642633422851564,True,REGULAR,USD
SPXW250411P05340000,2025-04-11 10:19:55+00:00,5340.0,86.0,93.2,93.9,-13.980003,-13.9828,10,1493,0.45044494873046875,True,REGULAR,USD
SPXW250411P05345000,2025-04-11 03:23:27+00:00,5345.0,118.1,96.6,97.7,11.699997,10.996238,4,180,0.4521844332885743,True,REGULAR,USD
SPXW250411P05350000,2025-04-11 11:31:24+00:00,5350.0,102.1,99.7,100.8,-11.060005,-9.773776,17,3154,0.4454706332397461,True,REGULAR,USD
SPXW250411P05355000,2025-04-11 10:09:46+00:00,5355.0,97.7,102.9,104.0,-11.560005,-10.580272,7,111,0.4387415745544434,True,REGULAR,USD
SPXW250411P05360000,2025-04-11 11:29:53+00:00,5360.0,111.2,105.6,106.8,-7.7000046,-6.476034,22,434,0.4259700958251954,True,REGULAR,USD
SPXW250411P05365000,2025-04-11 07:23:56+00:00,5365.0,102.7,109.3,110.4,-26.75,-20.66435,4,1421,0.4215145739746094,True,REGULAR,USD
SPXW250411P05370000,2025-04-11 12:00:40+00:00,5370.0,111.0,112.4,113.5,-10.220001,-8.430953,8,1365,0.4092466302490234,True,REGULAR,USD
SPXW250411P05375000,2025-04-11 11:15:48+00:00,5375.0,112.3,114.3,118.9,-14.019997,-11.098794,10,646,0.426885614013672,True,REGULAR,USD
SPXW250411P05380000,2025-04-11 06:39:41+00:00,5380.0,104.1,117.9,123.0,-24.470009,-19.03244,6,1422,0.4265804412841797,True,REGULAR,USD
SPXW250411P05385000,2025-04-11 11:11:30+00:00,5385.0,109.2,121.5,126.3,-18.130005,-14.238596,23,139,0.4136411175537109,True,REGULAR,USD
SPXW250411P05390000,2025-04-11 07:04:40+00:00,5390.0,113.26,125.1,130.2,-19.499992,-14.688154,32,390,0.4079038702392578,True,REGULAR,USD
SPXW250411P05395000,2025-04-11 10:02:02+00:00,5395.0,122.17,128.8,133.7,-25.710007,-17.385723,10,218,0.3937743728637696,True,REGULAR,USD
SPXW250411P05400000,2025-04-11 10:02:02+00:00,5400.0,125.77,132.6,137.8,-12.290001,-8.901928,45,3925,0.38794557373046873,True,REGULAR,USD
SPXW250411P05405000,2025-04-11 06:43:46+00:00,5405.0,115.4,136.5,141.0,-41.1,-26.26198,2,109,0.3610293389892578,True,REGULAR,USD
SPXW250411P05410000,2025-04-11 06:43:46+00:00,5410.0,118.8,140.4,145.5,-32.72,-21.59451,19,250,0.35883209533691407,True,REGULAR,USD
SPXW250411P05415000,2025-04-11 01:19:45+00:00,5415.0,196.5,144.3,149.2,34.5,21.296297,5,208,0.33222103332519537,True,REGULAR,USD
SPXW250411P05420000,2025-04-10 20:03:43+00:00,5420.0,156.06,150.1,155.4,0.0,0.0,235,914,0.37500625,True,REGULAR,USD
SPXW250411P05425000,2025-04-11 04:38:06+00:00,5425.0,162.25,154.2,159.5,-1.0700073,-0.65515995,5,970,0.3590151989746094,True,REGULAR,USD
SPXW250411P05430000,2025-04-10 19:59:39+00:00,5430.0,173.8,158.3,163.6,0.0,0.0,44,217,0.3367986242675781,True,REGULAR,USD
SPXW250411P05435000,2025-04-10 19:31:27+00:00,5435.0,185.6,162.5,167.8,0.0,0.0,21,168,0.30689169677734374,True,REGULAR,USD
SPXW250411P05440000,2025-04-11 08:42:30+00:00,5440.0,216.04,166.7,170.7,27.039993,14.306874,2,262,1.0000000000000003e-05,True,REGULAR,USD
